iter	Passed	Remaining
223	316	1094
224	316	1090
225	317	1087
226	318	1085
227	319	1082
228	320	1079
229	321	1076
230	322	1072
231	322	1068
232	323	1065
233	324	1061
234	324	1057
235	325	1053
236	326	1050
237	326	1046
238	327	1043
239	328	1040
240	329	1037
241	329	1033
242	330	1029
243	331	1026
244	331	1022
245	332	1019
246	333	1017
247	334	1015
248	335	1013
249	336	1009
250	337	1006
251	337	1002
252	338	999
253	339	995
254	339	992
255	340	990
256	342	990
257	343	986
258	343	983
259	344	980
260	345	977
261	345	973
262	346	970
263	347	967
264	347	964
265	348	962
266	349	959
267	350	956
268	351	953
269	351	950
270	352	948
271	353	947
272	355	945
273	356	943
274	357	941
275	357	938
276	358	935
277	359	932
278	359	929
279	360	926
280	361	923
281	361	920
282	362	918
283	363	916
284	364	914
285	365	912
286	366	910
287	366	907
288	367	904
289	368	902
290	369	899
291	370	897
292	370	895
293	371	892
294	372	890
295	373	887
296	374	885
297	374	883
298	375	880
299	376	879
300	378	877
301	379	877
302	380	875
303	382	875
304	382	872
305	383	870
306	385	869
307	386	867
308	387	865
309	388	864
310	389	863
311	391	862
312	393	864
313	395	863
314	396	862
315	397	860
316	398	858
317	398	855
318	399	852
319	400	850
320	400	847
321	401	845
322	402	842
323	402	840
324	403	837
325	404	835
326	404	832
327	405	830
328	405	827
329	406	826
330	408	824
331	409	823
332	410	821
333	411	819
334	411	817
335	412	814
336	412	812
337	413	809
338	414	807
339	414	805
340	415	802
341	416	800
342	416	798
343	417	796
344	418	793
345	418	791
346	419	789
347	420	786
348	420	784
349	421	782
350	422	781
351	423	780
352	424	778
353	425	776
354	426	774
355	426	772
356	427	769
357	428	767
358	428	765
359	429	763
360	429	761
361	430	758
362	431	756
363	431	754
364	432	752
365	433	750
366	433	748
367	434	746
368	435	744
369	435	741
370	436	740
371	438	740
372	439	738
373	440	737
374	441	735
375	441	733
376	442	731
377	443	729
378	443	726
379	444	724
380	444	722
381	445	720
382	446	718
383	446	716
384	447	714
385	448	712
386	448	710
387	449	708
388	449	706
389	450	704
390	451	703
391	452	701
392	453	700
393	454	698
394	455	696
395	455	695
396	456	693
397	457	691
398	458	690
399	459	689
400	460	687
401	460	685
402	461	683
403	462	681
404	462	679
405	463	678
406	464	676
407	464	674
408	465	672
409	466	670
410	467	669
411	468	668
412	469	666
413	470	665
414	470	663
415	471	661
416	471	659
417	472	658
418	473	656
419	473	654
420	474	652
421	475	650
422	475	648
423	476	646
424	476	645
425	477	643
426	478	641
427	478	639
428	479	638
429	480	637
430	481	636
431	482	634
432	483	633
433	484	631
434	486	631
435	488	632
436	490	631
437	491	630
438	492	628
439	493	627
440	493	625
441	494	624
442	495	623
443	496	621
444	497	620
445	498	618
446	499	617
447	500	616
448	500	614
449	501	613
450	502	611
451	503	609
452	503	608
453	504	606
454	505	605
455	506	603
456	507	602
457	508	601
458	508	599
459	509	598
460	510	597
461	518	604
462	520	603
463	521	602
464	521	600
465	522	598
466	523	597
467	523	595
468	524	593
469	525	592
470	526	591
471	528	591
472	530	590
473	531	589
474	532	588
475	533	587
476	534	585
477	535	584
478	535	582
479	536	581
480	537	579
481	537	577
482	538	576
483	538	574
484	540	573
485	542	573
486	543	572
487	545	571
488	545	570
